"","X","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"1",7,7,"North_Dakota",2.384018340266,6.57777683698626,6.69224628717942,2.44704750217188,46.82085,-100.783318,1768.57713489108,0.394713872160857,636988,22098,-58.901813798095,-1.20903205875308,617.5,-3,0.465891629361082,3.06766258201492,0.467360543893314,3.11562003471337,0.468841544894794,3.16501350452469,0.470334774199443,3.21593749084315
"2",8,8,"North_Dakota",2.3240456602478,6.46697191260941,6.57777683698626,2.384018340266,46.82085,-100.783318,1929.67263299956,0.401446244320875,637605.5,22243,145.974180229656,0.690166947354687,617.5,145,2.44704750217188,6.69224628717942,0.465891629361082,3.06766258201492,0.467360543893314,3.11562003471337,0.468841544894794,3.16501350452469
"3",9,9,"North_Dakota",2.26691267857984,6.35964376783136,6.46697191260941,2.3240456602478,46.82085,-100.783318,1794.78859740248,0.390366167729252,638223,22130,-295.979533705561,-1.78124487516396,617.5,-113,2.384018340266,6.57777683698626,2.44704750217188,6.69224628717942,0.465891629361082,3.06766258201492,0.467360543893314,3.11562003471337
"4",10,10,"North_Dakota",0.178993683786821,4.74222889325802,6.35964376783136,2.26691267857984,46.82085,-100.783318,1857.12846704762,0.404616013631286,638971.25,22208,197.223905242226,2.53299224936559,748.25,78,2.3240456602478,6.46697191260941,2.384018340266,6.57777683698626,2.44704750217188,6.69224628717942,0.465891629361082,3.06766258201492
"5",11,11,"North_Dakota",0.178256268125132,4.67314910734089,4.74222889325802,0.178993683786821,46.82085,-100.783318,1865.73404593732,0.403589385660434,639719.5,22251,-53.7342907554387,-1.52764738728861,748.25,43,2.26691267857984,6.35964376783136,2.3240456602478,6.46697191260941,2.384018340266,6.57777683698626,2.44704750217188,6.69224628717942
"6",12,12,"North_Dakota",0.17752368155346,4.60609417366342,4.67314910734089,0.178256268125132,46.82085,-100.783318,2109.33970836158,0.412167513508682,640467.75,22353,235.00008353456,0.960475581909997,748.25,102,0.178993683786821,4.74222889325802,2.26691267857984,6.35964376783136,2.3240456602478,6.46697191260941,2.384018340266,6.57777683698626
"7",13,13,"North_Dakota",0.176795879843716,4.54096396756754,4.60609417366342,0.17752368155346,46.82085,-100.783318,1833.61375885817,0.399268993079815,641216,22133,-519.331611927678,-2.14766482771145,748.25,-220,0.178256268125132,4.67314910734089,0.178993683786821,4.74222889325802,2.26691267857984,6.35964376783136,2.3240456602478,6.46697191260941
"8",14,14,"North_Dakota",2.23615557440944,7.90339987277378,4.54096396756754,0.176795879843716,46.82085,-100.783318,1960.34613533755,0.41442186447972,642113,21774,402.458325982795,2.80513918287721,897,-359,0.17752368155346,4.60609417366342,0.178256268125132,4.67314910734089,0.178993683786821,4.74222889325802,2.26691267857984,6.35964376783136
"9",15,15,"North_Dakota",2.18120707028895,7.75067213630436,7.90339987277378,2.23615557440944,46.82085,-100.783318,1974.02190012597,0.413394815010653,643010,21787,-113.05661169096,-1.61799208689727,897,13,0.176795879843716,4.54096396756754,0.17752368155346,4.60609417366342,0.178256268125132,4.67314910734089,0.178993683786821,4.74222889325802
"10",16,16,"North_Dakota",2.12875973961584,7.60367337034538,7.75067213630436,2.18120707028895,46.82085,-100.783318,2224.23539890077,0.421780888647998,643907,21909,236.537733986383,0.941312310641268,897,122,2.23615557440944,7.90339987277378,0.176795879843716,4.54096396756754,0.17752368155346,4.60609417366342,0.178256268125132,4.67314910734089
