"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Illinois",10.136605188565,50.585202414269,50.5183437018002,10.1240307777513,39.798363,-89.654961,5910.90693265484,0.444794599159726,11600269,261957,10.1183061165243,50.4800323187784,10.1125194886236,50.4410658830654,10.1066697839578,50.4014246320187,10.1007558637841,50.3610875266503
"7",7,"Illinois",10.1489570116892,50.6505899374218,50.585202414269,10.136605188565,39.798363,-89.654961,5910.90693265484,0.442055878823164,11631574,262361,10.1240307777513,50.5183437018002,10.1183061165243,50.4800323187784,10.1125194886236,50.4410658830654,10.1066697839578,50.4014246320187
"8",8,"Illinois",10.1610930233262,50.714561714215,50.6505899374218,10.1489570116892,39.798363,-89.654961,5910.90693265484,0.439354811106246,11662879,263955,10.136605188565,50.585202414269,10.1240307777513,50.5183437018002,10.1183061165243,50.4800323187784,10.1125194886236,50.4410658830654
"9",9,"Illinois",10.173019701316,50.7771699205248,50.714561714215,10.1610930233262,39.798363,-89.654961,5910.90693265484,0.427949939331665,11694184,268594,10.1489570116892,50.6505899374218,10.136605188565,50.585202414269,10.1240307777513,50.5183437018002,10.1183061165243,50.4800323187784
"10",10,"Illinois",10.1817933541405,50.8250981511266,50.7771699205248,10.173019701316,39.798363,-89.654961,5910.90693265484,0.437437857821674,11723032.75,267952,10.1610930233262,50.714561714215,10.1489570116892,50.6505899374218,10.136605188565,50.585202414269,10.1240307777513,50.5183437018002
"11",11,"Illinois",10.1904481824197,50.8721569489958,50.8250981511266,10.1817933541405,39.798363,-89.654961,5910.90693265484,0.434125009400977,11751881.5,268110,10.173019701316,50.7771699205248,10.1610930233262,50.714561714215,10.1489570116892,50.6505899374218,10.136605188565,50.585202414269
"12",12,"Illinois",10.1989869015179,50.9183764290082,50.8721569489958,10.1904481824197,39.798363,-89.654961,5910.90693265484,0.44218543526479,11780730.25,271637,10.1817933541405,50.8250981511266,10.173019701316,50.7771699205248,10.1610930233262,50.714561714215,10.1489570116892,50.6505899374218
"13",13,"Illinois",10.2074121374896,50.9637850396324,50.9183764290082,10.1989869015179,39.798363,-89.654961,5910.90693265484,0.430702708933711,11809579,274451,10.1904481824197,50.8721569489958,10.1817933541405,50.8250981511266,10.173019701316,50.7771699205248,10.1610930233262,50.714561714215
"14",14,"Illinois",10.2267852904232,51.0483444423611,50.9637850396324,10.2074121374896,39.798363,-89.654961,5910.90693265484,0.441816502997811,11835330.5,273783,10.1989869015179,50.9183764290082,10.1904481824197,50.8721569489958,10.1817933541405,50.8250981511266,10.173019701316,50.7771699205248
"15",15,"Illinois",10.2457084990201,51.1308949932462,51.0483444423611,10.2267852904232,39.798363,-89.654961,5910.90693265484,0.443380263846643,11861082,274224,10.2074121374896,50.9637850396324,10.1989869015179,50.9183764290082,10.1904481824197,50.8721569489958,10.1817933541405,50.8250981511266
"16",16,"Illinois",10.2642005321437,51.2115245380809,51.1308949932462,10.2457084990201,39.798363,-89.654961,5910.90693265484,0.447998815944829,11886833.5,277285,10.2267852904232,51.0483444423611,10.2074121374896,50.9637850396324,10.1989869015179,50.9183764290082,10.1904481824197,50.8721569489958
"17",17,"Illinois",10.282279017634,51.2903151875386,51.2115245380809,10.2642005321437,39.798363,-89.654961,5910.90693265484,0.436166765371804,11912585,278931,10.2457084990201,51.1308949932462,10.2267852904232,51.0483444423611,10.2074121374896,50.9637850396324,10.1989869015179,50.9183764290082
"18",18,"Illinois",10.2920399899606,51.3426059241978,51.2903151875386,10.282279017634,39.798363,-89.654961,5910.90693265484,0.450230669704508,11936548,280156,10.2642005321437,51.2115245380809,10.2457084990201,51.1308949932462,10.2267852904232,51.0483444423611,10.2074121374896,50.9637850396324
"19",19,"Illinois",10.3016680575258,51.3939816578647,51.3426059241978,10.2920399899606,39.798363,-89.654961,5910.90693265484,0.45153826064232,11960511,281677,10.282279017634,51.2903151875386,10.2642005321437,51.2115245380809,10.2457084990201,51.1308949932462,10.2267852904232,51.0483444423611
"20",20,"Illinois",10.311166353717,51.4444719578453,51.3939816578647,10.3016680575258,39.798363,-89.654961,5910.90693265484,0.453700012199117,11984474,277964,10.2920399899606,51.3426059241978,10.282279017634,51.2903151875386,10.2642005321437,51.2115245380809,10.2457084990201,51.1308949932462
"21",21,"Illinois",10.3205379045932,51.4941049353555,51.4444719578453,10.311166353717,39.798363,-89.654961,5910.90693265484,0.44612650255816,12008437,286124,10.3016680575258,51.3939816578647,10.2920399899606,51.3426059241978,10.282279017634,51.2903151875386,10.2642005321437,51.2115245380809
"22",22,"Illinois",10.3336873313393,51.5560400098186,51.4941049353555,10.3205379045932,39.798363,-89.654961,5910.90693265484,0.457676994091029,12006462.5,286869,10.311166353717,51.4444719578453,10.3016680575258,51.3939816578647,10.2920399899606,51.3426059241978,10.282279017634,51.2903151875386
"23",23,"Illinois",10.3466703342917,51.6168214065791,51.5560400098186,10.3336873313393,39.798363,-89.654961,5910.90693265484,0.459496037370912,12004488,288104,10.3205379045932,51.4941049353555,10.311166353717,51.4444719578453,10.3016680575258,51.3939816578647,10.2920399899606,51.3426059241978
