"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Texas",10.0358800913615,31.7990316651916,31.7620841240793,10.0266688405931,30.27467,-97.740349,5312.86008697952,0.405225949778563,17488438.25,381379,10.0222473484361,31.7385566501972,10.0177621348068,31.7145682010876,10.0132117660924,31.6901029717573,10.0085947640244,31.6651438949305
"7",7,"Texas",10.0449137834822,31.8350925672314,31.7990316651916,10.0358800913615,30.27467,-97.740349,5312.86008697952,0.401830591533326,17578871.5,384701,10.0266688405931,31.7620841240793,10.0222473484361,31.7385566501972,10.0177621348068,31.7145682010876,10.0132117660924,31.6901029717573
"8",8,"Texas",10.0537753601519,31.8703001723703,31.8350925672314,10.0449137834822,30.27467,-97.740349,5312.86008697952,0.402574470282992,17669304.75,383751,10.0358800913615,31.7990316651916,10.0266688405931,31.7620841240793,10.0222473484361,31.7385566501972,10.0177621348068,31.7145682010876
"9",9,"Texas",10.0624700320541,31.9046857426057,31.8703001723703,10.0537753601519,30.27467,-97.740349,5312.86008697952,0.395541439481446,17759738,385690,10.0449137834822,31.8350925672314,10.0358800913615,31.7990316651916,10.0266688405931,31.7620841240793,10.0222473484361,31.7385566501972
"10",10,"Texas",10.0731301676954,31.9372149720556,31.9046857426057,10.0624700320541,30.27467,-97.740349,5312.86008697952,0.400197071256334,17860206.5,386252,10.0537753601519,31.8703001723703,10.0449137834822,31.8350925672314,10.0358800913615,31.7990316651916,10.0266688405931,31.7620841240793
"11",11,"Texas",10.0835604722076,31.9690834203705,31.9372149720556,10.0731301676954,30.27467,-97.740349,5312.86008697952,0.397421366401875,17960675,381799,10.0624700320541,31.9046857426057,10.0537753601519,31.8703001723703,10.0449137834822,31.8350925672314,10.0358800913615,31.7990316651916
"12",12,"Texas",10.0937688485125,32.0003171511601,31.9690834203705,10.0835604722076,30.27467,-97.740349,5312.86008697952,0.402924912626195,18061143.5,392021,10.0731301676954,31.9372149720556,10.0624700320541,31.9046857426057,10.0537753601519,31.8703001723703,10.0449137834822,31.8350925672314
"13",13,"Texas",10.1037628204595,32.0309405845714,32.0003171511601,10.0937688485125,30.27467,-97.740349,5312.86008697952,0.396393301064538,18161612,399598,10.0835604722076,31.9690834203705,10.0731301676954,31.9372149720556,10.0624700320541,31.9046857426057,10.0537753601519,31.8703001723703
"14",14,"Texas",10.1162238239378,32.0815966429163,32.0309405845714,10.1037628204595,30.27467,-97.740349,5312.86008697952,0.402429360855428,18262224.5,403272,10.0937688485125,32.0003171511601,10.0835604722076,31.9690834203705,10.0731301676954,31.9372149720556,10.0624700320541,31.9046857426057
"15",15,"Texas",10.1283974071012,32.1310108054877,32.0815966429163,10.1162238239378,30.27467,-97.740349,5312.86008697952,0.402426542260327,18362837,405716,10.1037628204595,32.0309405845714,10.0937688485125,32.0003171511601,10.0835604722076,31.9690834203705,10.0731301676954,31.9372149720556
"16",16,"Texas",10.140294272566,32.1792393813995,32.1310108054877,10.1283974071012,30.27467,-97.740349,5312.86008697952,0.406078705209807,18463449.5,404566,10.1162238239378,32.0815966429163,10.1037628204595,32.0309405845714,10.0937688485125,32.0003171511601,10.0835604722076,31.9690834203705
"17",17,"Texas",10.1519245634187,32.2263348479852,32.1792393813995,10.140294272566,30.27467,-97.740349,5312.86008697952,0.399834655439813,18564062,401690,10.1283974071012,32.1310108054877,10.1162238239378,32.0815966429163,10.1037628204595,32.0309405845714,10.0937688485125,32.0003171511601
"18",18,"Texas",10.1631539172701,32.2589692775264,32.2263348479852,10.1519245634187,30.27467,-97.740349,5312.86008697952,0.407548374108151,18662734.25,408339,10.140294272566,32.1792393813995,10.1283974071012,32.1310108054877,10.1162238239378,32.0815966429163,10.1037628204595,32.0309405845714
"19",19,"Texas",10.1741424052608,32.2909975858071,32.2589692775264,10.1631539172701,30.27467,-97.740349,5312.86008697952,0.408018147964191,18761406.5,415104,10.1519245634187,32.2263348479852,10.140294272566,32.1792393813995,10.1283974071012,32.1310108054877,10.1162238239378,32.0815966429163
