"","asyn_eff_20","asyn_eff_50","asyn_eff_300"
"301",0.812095014235597,0.886904631307246,0.89640971126124
"301",1.12713016114101,1.16543591794684,1.14564317911817
"301",0.987514972873768,0.815640975934348,0.859858656068657
"301",1.26775995142342,1.41907557695393,1.35404077624071
"301",1.41609389745079,1.31036286082276,1.41029973398355
"301",1.24101540367106,1.04752662298339,1.07053350941433
"301",1.35613745511354,1.4307230982608,1.41282059498809
"301",1.35896339065473,1.27500477315043,1.18069622465443
"301",1.09581506895336,1.10560190952415,1.22085285505346
"301",0.420350296449332,0.556758323619173,0.485331801035592
"301",0.727027677598777,0.705345592983557,0.796079522842058
"301",1.39224794100378,1.22460384719235,1.0919534005715
"301",1.61578071973839,1.60268216039226,1.45272965374128
"301",1.24947990149473,1.00838710482561,1.29568951948656
"301",1.27268637594093,1.24266845716322,0.975001353487535
"301",1.29713275841112,1.20325010864423,1.15972622695893
"301",1.25358374297989,0.96964203896021,1.0878743273754
"301",1.1735700096395,0.895310852402976,0.906265522507876
"301",0.874731198858528,0.748472121306452,0.6916471085651
"301",0.685074651271477,0.714860910039311,0.772220118116255
"301",1.22251136297145,1.07937179445174,1.21637475893686
"301",0.805902260306914,0.774346788673221,1.04366779555587
"301",1.25041435857108,1.18250288520823,1.07820287608828
"301",1.29831214437554,1.43122059947603,1.41811116805471
"301",1.46910024456364,1.41361968254486,1.313448693249
"301",1.14920445518172,1.13354753279831,1.05897866898709
"301",1.52312537419145,1.45606617194471,1.35529650247678
"301",0.903714899606421,0.790871531454926,0.990503041519134
"301",1.52808472058147,1.40353587202102,1.41059834624002
"301",0.710192096308778,0.891509491177456,0.804264695480661
"301",1.42376860889262,1.55975818339477,1.57770910784231
"301",1.25645650798744,1.25535922618622,1.201660386824
"301",1.13902896724545,0.975533589302132,0.932070416165604
"301",0.504235972295106,0.764552335257079,0.808258853491248
"301",0.381684414790339,0.299534935915241,0.269886434840463
"301",1.09585745792262,1.11901167537134,1.22736031295115
"301",1.6881463302864,1.60691590402068,1.50260485617061
"301",1.15296884236599,0.954515861508268,1.03865900453493
"301",1.26724241042965,1.24647878068629,1.30558076309419
"301",0.624971927230882,0.653232785945675,0.704322999510078
"301",1.7790943255436,1.26698966401523,1.18776661725407
"301",1.71878344235113,1.72064880947061,1.5512539388549
"301",1.11397892496487,0.982329749063254,1.24764864348937
"301",0.960810701206177,0.894502104293606,0.997553468675692
"301",1.05803156989325,1.16250636687088,1.06148522457913
"301",0.918228828098442,0.986726825032771,0.853422269328458
"301",0.480802416713426,0.307356936519391,0.454732934055304
"301",0.883946560913308,0.943995129367186,1.06322731684401
"301",1.10641772015494,1.08427398485652,1.13771292529594
"301",0.952808962431723,1.10030666800004,1.14978405614965
