"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Nevada",0.0135295337155892,0.0266292182513723,0.0272856407753359,0.0140091714420514,39.163914,-119.766121,2756.4988914229,0.475887409359186,1323769,33160,74.8581538487565,-0.0038838831131609,13799,1090,-0.000797669456670036,0.0146896968716419,-0.000820925395808914,0.0150340317372368,-0.0008452137045456,0.0153880907325075,-0.000870596423315106,0.0157528651948837
"8",8,"Nevada",0.0130752910055136,0.0259999878091435,0.0266292182513723,0.0135295337155892,39.163914,-119.766121,2913.90402282351,0.47007678612726,1337568,33229,157.405131400613,-0.00581062323192594,13799,69,0.0140091714420514,0.0272856407753359,-0.000797669456670036,0.0146896968716419,-0.000820925395808914,0.0150340317372368,-0.0008452137045456,0.0153880907325075
"9",9,"Nevada",0.0126446104804945,0.0253962081352981,0.0259999878091435,0.0130752910055136,39.163914,-119.766121,2703.82425203516,0.456706924667146,1351367,33341,-210.079770788351,-0.0133698614601142,13799,112,0.0135295337155892,0.0266292182513723,0.0140091714420514,0.0272856407753359,-0.000797669456670036,0.0146896968716419,-0.000820925395808914,0.0150340317372368
"10",10,"Nevada",0.0162613636602131,0.0268210125593171,0.0253962081352981,0.0126446104804945,39.163914,-119.766121,2725.58820459787,0.464358632998836,1366329,33614,21.7639525627064,0.00765170833169038,14962,273,0.0130752910055136,0.0259999878091435,0.0135295337155892,0.0266292182513723,0.0140091714420514,0.0272856407753359,-0.000797669456670036,0.0146896968716419
"11",11,"Nevada",0.0156572111347693,0.0261929002289811,0.0268210125593171,0.0162613636602131,39.163914,-119.766121,2829.82921122341,0.46627321831533,1381291,33765,104.241006625546,0.00191458531649358,14962,151,0.0126446104804945,0.0253962081352981,0.0130752910055136,0.0259999878091435,0.0135295337155892,0.0266292182513723,0.0140091714420514,0.0272856407753359
"12",12,"Nevada",0.0150879302972928,0.0255926733941259,0.0261929002289811,0.0156572111347693,39.163914,-119.766121,3206.17170527118,0.466291806236644,1396253,33956,376.342494047766,1.858792131465e-05,14962,191,0.0162613636602131,0.0268210125593171,0.0126446104804945,0.0253962081352981,0.0130752910055136,0.0259999878091435,0.0135295337155892,0.0266292182513723
"13",13,"Nevada",0.0145507705749992,0.0250184268763043,0.0255926733941259,0.0150879302972928,39.163914,-119.766121,2719.44370701842,0.452899569992288,1411215,34729,-486.727998252759,-0.0133922362443563,14962,773,0.0156572111347693,0.0261929002289811,0.0162613636602131,0.0268210125593171,0.0126446104804945,0.0253962081352981,0.0130752910055136,0.0259999878091435
"14",14,"Nevada",0.0160695518463925,0.0378022342530997,0.0250184268763043,0.0145507705749992,39.163914,-119.766121,2862.66604220555,0.463409689113137,1433235.75,35291,143.222335187128,0.0105101191208488,22020.75,562,0.0150879302972928,0.0255926733941259,0.0156572111347693,0.0261929002289811,0.0162613636602131,0.0268210125593171,0.0126446104804945,0.0253962081352981
"15",15,"Nevada",0.0153404191908262,0.0368831067147077,0.0378022342530997,0.0160695518463925,39.163914,-119.766121,2965.78208789997,0.463018260583844,1455256.5,35752,103.11604569442,-0.000391428529292359,22020.75,461,0.0145507705749992,0.0250184268763043,0.0150879302972928,0.0255926733941259,0.0156572111347693,0.0261929002289811,0.0162613636602131,0.0268210125593171
"16",16,"Nevada",0.0146614993256637,0.0360055264694559,0.0368831067147077,0.0153404191908262,39.163914,-119.766121,3254.50914850276,0.471706535339479,1477277.25,36328,288.727060602792,0.00868827475563461,22020.75,576,0.0160695518463925,0.0378022342530997,0.0145507705749992,0.0250184268763043,0.0150879302972928,0.0255926733941259,0.0156572111347693,0.0261929002289811
"17",17,"Nevada",0.0140281506543278,0.0351666600057285,0.0360055264694559,0.0146614993256637,39.163914,-119.766121,2894.77282168055,0.468630430152422,1499298,36501,-359.736326822214,-0.00307610518705653,22020.75,173,0.0153404191908262,0.0368831067147077,0.0160695518463925,0.0378022342530997,0.0145507705749992,0.0250184268763043,0.0150879302972928,0.0255926733941259
"18",18,"Nevada",0.0086805692768781,0.0297288477008237,0.0351666600057285,0.0140281506543278,39.163914,-119.766121,3022.21213486961,0.480588445838718,1519868,37484,127.43931318906,0.0119580156862951,20570,983,0.0146614993256637,0.0360055264694559,0.0153404191908262,0.0368831067147077,0.0160695518463925,0.0378022342530997,0.0145507705749992,0.0250184268763043
"19",19,"Nevada",0.00837699077667686,0.0291257395858118,0.0297288477008237,0.0086805692768781,39.163914,-119.766121,3165.17150446821,0.486601646198462,1540438,38121,142.959369598603,0.00601320035974462,20570,637,0.0140281506543278,0.0351666600057285,0.0146614993256637,0.0360055264694559,0.0153404191908262,0.0368831067147077,0.0160695518463925,0.0378022342530997
"20",20,"Nevada",0.00808934292546581,0.0285450746384086,0.0291257395858118,0.00837699077667686,39.163914,-119.766121,3294.72122051905,0.489028243288952,1561008,38405,129.54971605084,0.00242659709048959,20570,284,0.0086805692768781,0.0297288477008237,0.0140281506543278,0.0351666600057285,0.0146614993256637,0.0360055264694559,0.0153404191908262,0.0368831067147077
"21",21,"Nevada",0.00781651238970227,0.0279855960531421,0.0285450746384086,0.00808934292546581,39.163914,-119.766121,3105.08448903563,0.477118843753939,1581578,38929,-189.636731483416,-0.0119093995350132,20570,524,0.00837699077667686,0.0291257395858118,0.0086805692768781,0.0297288477008237,0.0140281506543278,0.0351666600057285,0.0146614993256637,0.0360055264694559
"22",22,"Nevada",0.012599474078252,0.0354706861726193,0.0279855960531421,0.00781651238970227,39.163914,-119.766121,3141.52971040331,0.485311775567637,1602763.5,39566,36.4452213676791,0.00819293181369818,21185.5,637,0.00808934292546581,0.0285450746384086,0.00837699077667686,0.0291257395858118,0.0086805692768781,0.0297288477008237,0.0140281506543278,0.0351666600057285
"23",23,"Nevada",0.0121200131905681,0.0346764704595479,0.0354706861726193,0.012599474078252,39.163914,-119.766121,3249.48102988456,0.488824464315074,1623949,39929,107.951319481246,0.00351268874743715,21185.5,363,0.00781651238970227,0.0279855960531421,0.00808934292546581,0.0285450746384086,0.00837699077667686,0.0291257395858118,0.0086805692768781,0.0297288477008237
"24",24,"Nevada",0.0116682510479098,0.0339170070627972,0.0346764704595479,0.0121200131905681,39.163914,-119.766121,3452.73886299266,0.491082036149628,1645134.5,40417,203.257833108102,0.00225757183455394,21185.5,488,0.012599474078252,0.0354706861726193,0.00781651238970227,0.0279855960531421,0.00808934292546581,0.0285450746384086,0.00837699077667686,0.0291257395858118
"25",25,"Nevada",0.0112420371108435,0.0331898487691866,0.0339170070627972,0.0116682510479098,39.163914,-119.766121,3273.56559244323,0.481928641157361,1666320,40808,-179.173270549433,-0.00915339499226714,21185.5,391,0.0121200131905681,0.0346764704595479,0.012599474078252,0.0354706861726193,0.00781651238970227,0.0279855960531421,0.00808934292546581,0.0285450746384086
"26",26,"Nevada",0.0109846652949219,0.0480807421638048,0.0331898487691866,0.0112420371108435,39.163914,-119.766121,3347.81983195782,0.493554400786389,1690766,41547,74.2542395145947,0.0116257596290284,24446,739,0.0116682510479098,0.0339170070627972,0.0121200131905681,0.0346764704595479,0.012599474078252,0.0354706861726193,0.00781651238970227,0.0279855960531421
"27",27,"Nevada",0.0105572263541003,0.0465040721191308,0.0480807421638048,0.0109846652949219,39.163914,-119.766121,3416.51347763425,0.496724603139437,1715212,42077,68.6936456764288,0.00317020235304788,24446,530,0.0112420371108435,0.0331898487691866,0.0116682510479098,0.0339170070627972,0.0121200131905681,0.0346764704595479,0.012599474078252,0.0354706861726193
"28",28,"Nevada",0.0101548157656524,0.0450162445839872,0.0465040721191308,0.0105572263541003,39.163914,-119.766121,3659.68321819576,0.498842492796477,1739658,42618,243.169740561509,0.00211788965703985,24446,541,0.0109846652949219,0.0480807421638048,0.0112420371108435,0.0331898487691866,0.0116682510479098,0.0339170070627972,0.0121200131905681,0.0346764704595479
"29",29,"Nevada",0.00977547791450561,0.0436093613858404,0.0450162445839872,0.0101548157656524,39.163914,-119.766121,3399.1762248711,0.489678235145623,1764104,43197,-260.506993324664,-0.00916425765085432,24446,579,0.0105572263541003,0.0465040721191308,0.0109846652949219,0.0480807421638048,0.0112420371108435,0.0331898487691866,0.0116682510479098,0.0339170070627972
"30",30,"Nevada",0.00664772189822749,0.0277830610039729,0.0436093613858404,0.00977547791450561,39.163914,-119.766121,3454.90730995425,0.49423625833852,1786375.75,43786,55.7310850831504,0.00455802319289705,22271.75,589,0.0101548157656524,0.0450162445839872,0.0105572263541003,0.0465040721191308,0.0109846652949219,0.0480807421638048,0.0112420371108435,0.0331898487691866
"31",31,"Nevada",0.00644170468498118,0.0272001705871432,0.0277830610039729,0.00664772189822749,39.163914,-119.766121,3543.44822913254,0.495532158698696,1808647.5,44542,88.540919178296,0.00129590036017652,22271.75,756,0.00977547791450561,0.0436093613858404,0.0101548157656524,0.0450162445839872,0.0105572263541003,0.0465040721191308,0.0109846652949219,0.0480807421638048
"32",32,"Nevada",0.00624524590941,0.0266369704560567,0.0272001705871432,0.00644170468498118,39.163914,-119.766121,3800.74222060858,0.493904359790854,1830919.25,45058,257.29399147604,-0.00162779890784243,22271.75,516,0.00664772189822749,0.0277830610039729,0.00977547791450561,0.0436093613858404,0.0101548157656524,0.0450162445839872,0.0105572263541003,0.0465040721191308
"33",33,"Nevada",0.00605775594440772,0.0260923783122742,0.0266369704560567,0.00624524590941,39.163914,-119.766121,3465.99561027439,0.481288940715411,1853191,45756,-334.746610334196,-0.0126154190754426,22271.75,698,0.00644170468498118,0.0272001705871432,0.00664772189822749,0.0277830610039729,0.00977547791450561,0.0436093613858404,0.0101548157656524,0.0450162445839872
"34",34,"Nevada",0.0146974811854417,0.0348544377631832,0.0260923783122742,0.00605775594440772,39.163914,-119.766121,3578.16845115835,0.489076462781247,1873572.75,46172,112.172840883969,0.00778752206583583,20381.75,416,0.00624524590941,0.0266369704560567,0.00644170468498118,0.0272001705871432,0.00664772189822749,0.0277830610039729,0.00977547791450561,0.0436093613858404
"35",35,"Nevada",0.0141750382328443,0.0341124472450289,0.0348544377631832,0.0146974811854417,39.163914,-119.766121,3659.99975395396,0.491041011456893,1893954.5,46169,81.8313027956078,0.00196454867564572,20381.75,-3,0.00605775594440772,0.0260923783122742,0.00624524590941,0.0266369704560567,0.00644170468498118,0.0272001705871432,0.00664772189822749,0.0277830610039729
"36",36,"Nevada",0.0136813166672649,0.0333997167837872,0.0341124472450289,0.0141750382328443,39.163914,-119.766121,4080.99425427482,0.496220382739274,1914336.25,46669,420.994500320855,0.0051793712823815,20381.75,500,0.0146974811854417,0.0348544377631832,0.00605775594440772,0.0260923783122742,0.00624524590941,0.0266369704560567,0.00644170468498118,0.0272001705871432
"37",37,"Nevada",0.0132141645980006,0.0327145096213322,0.0333997167837872,0.0136813166672649,39.163914,-119.766121,3669.25971743686,0.488178983534896,1934718,47070,-411.734536837961,-0.00804139920437824,20381.75,401,0.0141750382328443,0.0341124472450289,0.0146974811854417,0.0348544377631832,0.00605775594440772,0.0260923783122742,0.00624524590941,0.0266369704560567
"38",38,"Nevada",-0.00347557135382282,0.00817501580194246,0.0327145096213322,0.0132141645980006,39.163914,-119.766121,3777.54044915597,0.497236551600569,1955723.75,47571,108.280731719115,0.00905756806567315,21005.75,501,0.0136813166672649,0.0333997167837872,0.0141750382328443,0.0341124472450289,0.0146974811854417,0.0348544377631832,0.00605775594440772,0.0260923783122742
"39",39,"Nevada",-0.00341344237637387,0.00792352526469386,0.00817501580194246,-0.00347557135382282,39.163914,-119.766121,3831.66145393186,0.496807985108736,1976729.5,48171,54.1210047758896,-0.000428566491832594,21005.75,600,0.0132141645980006,0.0327145096213322,0.0136813166672649,0.0333997167837872,0.0141750382328443,0.0341124472450289,0.0146974811854417,0.0348544377631832
