"timepoint","state","y","ysl_kansas_lag1","y_lag1","latitude","longitude","total_qtrly_wages","emplvlcapita","y_lag2","ysl_kansas_lag2","y_lag3","ysl_kansas_lag3","y_lag4","ysl_kansas_lag4","y_lag5","ysl_kansas_lag5","nearst_neighbor1","nearst_neighbor2","nearst_neighbor3","nearst_neighbor4","nearst_neighbor1_lag1","nearst_neighbor2_lag1","nearst_neighbor3_lag1","nearst_neighbor4_lag1","nearst_neighbor1_lag2","nearst_neighbor2_lag2","nearst_neighbor3_lag2","nearst_neighbor4_lag2","nearst_neighbor1_lag3","nearst_neighbor2_lag3","nearst_neighbor3_lag3","nearst_neighbor4_lag3","nearst_neighbor1_lag4","nearst_neighbor2_lag4","nearst_neighbor3_lag4","nearst_neighbor4_lag4"
7,"Kansas",0.00974476249970024,0.0557753107443208,0.00990706876035929,39.048191,-95.677956,5469105371,0.425004313158353,0.010073962671461,0.0570936675366445,0.0080662839593888,0.0345861682277056,0.00816036251389107,0.0351995462922147,0.00825637313953997,0.035831784895955,0.0121360116370006,0.00700205856234071,0.0158373436341002,0.01559846863994,8.49386228001237e-05,0.0186966039231411,0.0166716888227416,0.0146669319110604,8.55924016995857e-05,0.0191524368594091,0.0170721724898097,0.0149409754837091,0.00221715968820035,0.00565958023656066,0.0147546088122095,0.00641238647069109,0.00223565874980025,0.00572172300678986,0.0150601188324799,0.00647303127163923
8,"Kansas",0.00958686394569952,0.0545058003348294,0.00974476249970024,39.048191,-95.677956,6020189027,0.429268080731882,0.00990706876035929,0.0557753107443208,0.010073962671461,0.0570936675366445,0.0080662839593888,0.0345861682277056,0.00816036251389107,0.0351995462922147,0.0119266779898002,0.00690487553382013,0.0154962878480998,0.0152662974932003,8.42923061998846e-05,0.0182600078973287,0.0162873716440899,0.0144018947196205,8.49386228001237e-05,0.0186966039231411,0.0166716888227416,0.0146669319110604,8.55924016995857e-05,0.0191524368594091,0.0170721724898097,0.0149409754837091,0.00221715968820035,0.00565958023656066,0.0147546088122095,0.00641238647069109
9,"Kansas",0.00658918338790038,0.0532821834299781,0.00958686394569952,39.048191,-95.677956,5658612989,0.421294501039991,0.00974476249970024,0.0545058003348294,0.00990706876035929,0.0557753107443208,0.010073962671461,0.0570936675366445,0.0080662839593888,0.0345861682277056,0.00877365282449993,0.0108820799507203,0.00410560912169977,0.0125299749548997,8.36533388994809e-05,0.0178414691133,0.0159182798975497,0.0141454312758,8.42923061998846e-05,0.0182600078973287,0.0162873716440899,0.0144018947196205,8.49386228001237e-05,0.0186966039231411,0.0166716888227416,0.0146669319110604,8.55924016995857e-05,0.0191524368594091,0.0170721724898097,0.0149409754837091
10,"Kansas",0.00651508240230037,0.045423430233474,0.00658918338790038,39.048191,-95.677956,5885320935,0.432896721982633,0.00958686394569952,0.0532821834299781,0.00974476249970024,0.0545058003348294,0.00990706876035929,0.0557753107443208,0.010073962671461,0.0570936675366445,0.00865482827919983,0.010712382467279,0.00406160110900089,0.0123025451085006,0.00788700573949974,0.0118767648487701,0.00988728981056042,0.00446111742312993,8.36533388994809e-05,0.0178414691133,0.0159182798975497,0.0141454312758,8.42923061998846e-05,0.0182600078973287,0.0162873716440899,0.0144018947196205,8.49386228001237e-05,0.0186966039231411,0.0166716888227416,0.0146669319110604
11,"Kansas",0.0064423603917998,0.04457254650167,0.00651508240230037,39.048191,-95.677956,5741176321,0.426594976571091,0.00658918338790038,0.045423430233474,0.00958686394569952,0.0532821834299781,0.00974476249970024,0.0545058003348294,0.00990706876035929,0.0557753107443208,0.00853871909819937,0.0105472242867108,0.0040183298763985,0.0120821579033006,0.00776860913510014,0.0116714457298013,0.00970986175908983,0.00442675217840005,0.00788700573949974,0.0118767648487701,0.00988728981056042,0.00446111742312993,8.36533388994809e-05,0.0178414691133,0.0159182798975497,0.0141454312758,8.42923061998846e-05,0.0182600078973287,0.0162873716440899,0.0144018947196205
12,"Kansas",0.0063709807043999,0.0437515206669218,0.0064423603917998,39.048191,-95.677956,6654963351,0.433162860808326,0.00651508240230037,0.04457254650167,0.00658918338790038,0.045423430233474,0.00958686394569952,0.0532821834299781,0.00974476249970024,0.0545058003348294,0.00842523597169986,0.0103864297405298,0.00397577841040153,0.0118684988556996,0.00765308789629948,0.0114721799595987,0.0095376128569189,0.00439282537490016,0.00776860913510014,0.0116714457298013,0.00970986175908983,0.00442675217840005,0.00788700573949974,0.0118767648487701,0.00988728981056042,0.00446111742312993,8.36533388994809e-05,0.0178414691133,0.0159182798975497,0.0141454312758
13,"Kansas",0.0159421332228007,0.042958711939871,0.0063709807043999,39.048191,-95.677956,5711912416,0.422994114066095,0.0064423603917998,0.0437515206669218,0.00651508240230037,0.04457254650167,0.00658918338790038,0.045423430233474,0.00958686394569952,0.0532821834299781,0.0193731529335999,0.00804047930406959,0.0184502663815991,0.0170209114256004,0.00754034359930067,0.0112787100980007,0.00937032960459128,0.00435932900879976,0.00765308789629948,0.0114721799595987,0.0095376128569189,0.00439282537490016,0.00776860913510014,0.0116714457298013,0.00970986175908983,0.00442675217840005,0.00788700573949974,0.0118767648487701,0.00988728981056042,0.00446111742312993
14,"Kansas",0.0156193254260995,0.0723170492640242,0.0159421332228007,39.048191,-95.677956,6151958551,0.436190259515451,0.0063709807043999,0.042958711939871,0.0064423603917998,0.0437515206669218,0.00651508240230037,0.04457254650167,0.00658918338790038,0.045423430233474,0.0189232085969007,0.00794149928255017,0.0180094577141006,0.0166567968113984,0.00124622132100072,0.0186517379978,0.0162016871192794,0.0251573659566997,0.00754034359930067,0.0112787100980007,0.00937032960459128,0.00435932900879976,0.00765308789629948,0.0114721799595987,0.0095376128569189,0.00439282537490016,0.00776860913510014,0.0116714457298013,0.00970986175908983,0.00442675217840005
15,"Kansas",0.0153080729945003,0.070602370742684,0.0156193254260995,39.048191,-95.677956,6120014988,0.430641261733365,0.0159421332228007,0.0723170492640242,0.0063709807043999,0.042958711939871,0.0064423603917998,0.0437515206669218,0.00651508240230037,0.04457254650167,0.0184920331236,0.00784458165220059,0.0175870793197994,0.0163064810458007,0.00123527337629881,0.0182244541048995,0.0158228570438794,0.0244812659651998,0.00124622132100072,0.0186517379978,0.0162016871192794,0.0251573659566997,0.00754034359930067,0.0112787100980007,0.00937032960459128,0.00435932900879976,0.00765308789629948,0.0114721799595987,0.0095376128569189,0.00439282537490016
16,"Kansas",0.0150077738913996,0.0689621415741835,0.0153080729945003,39.048191,-95.677956,6835276364,0.435545530823236,0.0156193254260995,0.070602370742684,0.0159421332228007,0.0723170492640242,0.0063709807043999,0.042958711939871,0.0064423603917998,0.0437515206669218,0.0180784854902996,0.00774966444680913,0.0171820150216,0.0159692032117995,0.00122446999580106,0.0178146122646012,0.0154590735641698,0.0238391113103003,0.00123527337629881,0.0182244541048995,0.0158228570438794,0.0244812659651998,0.00124622132100072,0.0186517379978,0.0162016871192794,0.0251573659566997,0.00754034359930067,0.0112787100980007,0.00937032960459128,0.00435932900879976
