"","MSEE_50","MSEE_150","MSEE_300"
"1",0.253524655505318,0.08439700268971,0.0851939362496381
"2",0.723188291845931,0.201347279305623,0.0973165113231364
"3",0.335004108591194,0.120187288591189,0.138447274715707
"4",0.279919412767196,0.260972666336847,0.170164291453926
"5",0.157825657759858,0.206525893927834,0.128841582921441
"6",0.407998499257001,0.247584424590211,0.393945757982825
"7",0.358664992662004,0.203841712437163,0.0960831726676726
"8",0.466017002742369,0.141992105082394,0.280940545078127
"9",0.350714446659386,0.528282586114059,0.0870883889336522
"10",0.420202015657863,0.213521545808546,0.0682422985063422
"11",0.0949257421760341,0.0844456022873928,0.0990537350666276
"12",0.273985535137328,0.059547793586505,0.321122758529383
"13",0.280247262151258,0.58291510449372,0.265390318631134
"14",0.69351266936317,0.0792691642043953,0.0783502863757222
"15",0.197213187512811,0.795510871251919,0.115648564051106
"16",0.117057629658512,0.110868319821355,0.136615131967456
"17",0.148284781382391,0.238808467133604,0.155015347900234
"18",0.334834035364472,0.151293669009451,0.187498957281184
"19",0.191563295665962,0.110079116788389,0.124890753643886
"20",0.661419218546836,0.120952817626682,0.0793070848353349
"21",0.552286400236005,0.196308252803906,0.164360450181192
"22",0.364135749133528,0.332584909676244,0.154176886533164
"23",0.226102650264756,0.135485265728589,0.413722888398549
"24",1.56649607233953,0.169984397772724,0.230601758808048
"25",0.423069732081512,0.282636639076359,0.342436726559776
"26",0.316400055835031,0.25246412640545,0.128169829227712
"27",0.266362783214392,0.102200694103429,0.223167704128162
"28",0.279364587313481,0.131980843623748,0.0527761236627555
"29",0.241580788652755,0.218112057319848,0.133927768232322
"30",0.207409932095452,0.236641839577146,0.171874798130404
"31",0.288162345216482,0.165992712537629,0.160435019971285
"32",0.163649604071891,0.069811690355864,0.183367242100679
"33",0.226768235375131,0.162186541578528,0.253194798886059
"34",0.345329408840059,0.201399390222016,0.243275537747818
"35",0.320486060091714,0.0671767336036094,0.140204089908269
"36",0.475136298041396,0.112585466974889,0.0504147622918611
"37",0.512622652946443,0.545180707669994,0.0909163201750789
"38",0.0679824873471974,0.50807713371265,0.117207881115139
"39",0.604891426267528,0.157480872435746,0.155600046652157
"40",0.226691485843292,0.349577373192962,0.142386296755538
"41",0.178044452715572,0.142958371858992,0.147663067355597
"42",0.394143966323321,0.162405676840245,0.254736615897776
"43",0.581967823754273,0.22823485112291,0.195646599670696
"44",0.258288056675462,0.219933753043546,0.302128260460951
"45",0.235964527361484,0.193473062874605,0.377434234493723
"46",0.387041728887991,0.337293204392502,0.190887835950543
"47",0.859825139943597,0.137665895740114,0.149577235941697
"48",0.161361126634354,0.180841126382782,0.14406812833297
"49",0.4239264881227,0.335899217980266,0.332728006434749
"50",0.0732229255098559,0.0543914903176893,0.205826541738432
