"timepoint","state","y","ysl_kansas","ysl_kansas_lag1","y_lag1","latitude","longitude","total_qtrly_wages","emplvlcapita","y_lag2","ysl_kansas_lag2","y_lag3","ysl_kansas_lag3","y_lag4","ysl_kansas_lag4","y_lag5","ysl_kansas_lag5","ysl_kansas_lead1","ysl_kansas_lead2","ysl_kansas_lead3","nearst_neighbor1","nearst_neighbor2","nearst_neighbor3","nearst_neighbor4","nearst_neighbor1_lag1","nearst_neighbor2_lag1","nearst_neighbor3_lag1","nearst_neighbor4_lag1","nearst_neighbor1_lag2","nearst_neighbor2_lag2","nearst_neighbor3_lag2","nearst_neighbor4_lag2","nearst_neighbor1_lag3","nearst_neighbor2_lag3","nearst_neighbor3_lag3","nearst_neighbor4_lag3","nearst_neighbor1_lag4","nearst_neighbor2_lag4","nearst_neighbor3_lag4","nearst_neighbor4_lag4","nearst_neighbor1_lead1","nearst_neighbor2_lead1","nearst_neighbor3_lead1","nearst_neighbor4_lead1","nearst_neighbor1_lead2","nearst_neighbor2_lead2","nearst_neighbor3_lead2","nearst_neighbor4_lead2","nearst_neighbor1_lead3","nearst_neighbor2_lead3","nearst_neighbor3_lead3","nearst_neighbor4_lead3"
6,"Kansas",0.00990706876035929,0.0557753107443208,0.0570936675366445,0.010073962671461,39.048191,-95.677956,5594217746,0.428934164027537,0.0080662839593888,0.0345861682277056,0.00816036251389107,0.0351995462922147,0.00825637313953997,0.035831784895955,0.00835437466343869,0.0364840808561228,0.0545058003348294,0.0532821834299781,0.045423430233474,0.0123518231242006,0.00710148318273873,0.0161918378001999,0.0159435617559804,0.0125744108137003,0.00720322354167102,0.0165605648825,0.0163023306726195,0.00572466122699922,0.00559138530269898,0.00503748201909993,0.00787205826861914,0.00578662790070084,0.00564655476088127,0.00509230275200068,0.00798277538332037,0.00584970466579904,0.00570263615725963,0.00514809038439878,0.00809610463656973,0.0121360116370006,0.00700205856234071,0.0158373436341002,0.01559846863994,0.0119266779898002,0.00690487553382013,0.0154962878480998,0.0152662974932003,0.00877365282449993,0.0108820799507203,0.00410560912169977,0.0125299749548997
7,"Kansas",0.00974476249970024,0.0545058003348294,0.0557753107443208,0.00990706876035929,39.048191,-95.677956,5469105371,0.425004313158353,0.010073962671461,0.0570936675366445,0.0080662839593888,0.0345861682277056,0.00816036251389107,0.0351995462922147,0.00825637313953997,0.035831784895955,0.0532821834299781,0.045423430233474,0.04457254650167,0.0121360116370006,0.00700205856234071,0.0158373436341002,0.01559846863994,0.0123518231242006,0.00710148318273873,0.0161918378001999,0.0159435617559804,0.0125744108137003,0.00720322354167102,0.0165605648825,0.0163023306726195,0.00572466122699922,0.00559138530269898,0.00503748201909993,0.00787205826861914,0.00578662790070084,0.00564655476088127,0.00509230275200068,0.00798277538332037,0.0119266779898002,0.00690487553382013,0.0154962878480998,0.0152662974932003,0.00877365282449993,0.0108820799507203,0.00410560912169977,0.0125299749548997,0.00865482827919983,0.010712382467279,0.00406160110900089,0.0123025451085006
8,"Kansas",0.00958686394569952,0.0532821834299781,0.0545058003348294,0.00974476249970024,39.048191,-95.677956,6020189027,0.429268080731882,0.00990706876035929,0.0557753107443208,0.010073962671461,0.0570936675366445,0.0080662839593888,0.0345861682277056,0.00816036251389107,0.0351995462922147,0.045423430233474,0.04457254650167,0.0437515206669218,0.0119266779898002,0.00690487553382013,0.0154962878480998,0.0152662974932003,0.0121360116370006,0.00700205856234071,0.0158373436341002,0.01559846863994,0.0123518231242006,0.00710148318273873,0.0161918378001999,0.0159435617559804,0.0125744108137003,0.00720322354167102,0.0165605648825,0.0163023306726195,0.00572466122699922,0.00559138530269898,0.00503748201909993,0.00787205826861914,0.00877365282449993,0.0108820799507203,0.00410560912169977,0.0125299749548997,0.00865482827919983,0.010712382467279,0.00406160110900089,0.0123025451085006,0.00853871909819937,0.0105472242867108,0.0040183298763985,0.0120821579033006
9,"Kansas",0.00658918338790038,0.045423430233474,0.0532821834299781,0.00958686394569952,39.048191,-95.677956,5658612989,0.421294501039991,0.00974476249970024,0.0545058003348294,0.00990706876035929,0.0557753107443208,0.010073962671461,0.0570936675366445,0.0080662839593888,0.0345861682277056,0.04457254650167,0.0437515206669218,0.042958711939871,0.00877365282449993,0.0108820799507203,0.00410560912169977,0.0125299749548997,0.0119266779898002,0.00690487553382013,0.0154962878480998,0.0152662974932003,0.0121360116370006,0.00700205856234071,0.0158373436341002,0.01559846863994,0.0123518231242006,0.00710148318273873,0.0161918378001999,0.0159435617559804,0.0125744108137003,0.00720322354167102,0.0165605648825,0.0163023306726195,0.00865482827919983,0.010712382467279,0.00406160110900089,0.0123025451085006,0.00853871909819937,0.0105472242867108,0.0040183298763985,0.0120821579033006,0.00842523597169986,0.0103864297405298,0.00397577841040153,0.0118684988556996
10,"Kansas",0.00651508240230037,0.04457254650167,0.045423430233474,0.00658918338790038,39.048191,-95.677956,5885320935,0.432896721982633,0.00958686394569952,0.0532821834299781,0.00974476249970024,0.0545058003348294,0.00990706876035929,0.0557753107443208,0.010073962671461,0.0570936675366445,0.0437515206669218,0.042958711939871,0.0723170492640242,0.00865482827919983,0.010712382467279,0.00406160110900089,0.0123025451085006,0.00877365282449993,0.0108820799507203,0.00410560912169977,0.0125299749548997,0.0119266779898002,0.00690487553382013,0.0154962878480998,0.0152662974932003,0.0121360116370006,0.00700205856234071,0.0158373436341002,0.01559846863994,0.0123518231242006,0.00710148318273873,0.0161918378001999,0.0159435617559804,0.00853871909819937,0.0105472242867108,0.0040183298763985,0.0120821579033006,0.00842523597169986,0.0103864297405298,0.00397577841040153,0.0118684988556996,0.0193731529335999,0.00804047930406959,0.0184502663815991,0.0170209114256004
11,"Kansas",0.0064423603917998,0.0437515206669218,0.04457254650167,0.00651508240230037,39.048191,-95.677956,5741176321,0.426594976571091,0.00658918338790038,0.045423430233474,0.00958686394569952,0.0532821834299781,0.00974476249970024,0.0545058003348294,0.00990706876035929,0.0557753107443208,0.042958711939871,0.0723170492640242,0.070602370742684,0.00853871909819937,0.0105472242867108,0.0040183298763985,0.0120821579033006,0.00865482827919983,0.010712382467279,0.00406160110900089,0.0123025451085006,0.00877365282449993,0.0108820799507203,0.00410560912169977,0.0125299749548997,0.0119266779898002,0.00690487553382013,0.0154962878480998,0.0152662974932003,0.0121360116370006,0.00700205856234071,0.0158373436341002,0.01559846863994,0.00842523597169986,0.0103864297405298,0.00397577841040153,0.0118684988556996,0.0193731529335999,0.00804047930406959,0.0184502663815991,0.0170209114256004,0.0189232085969007,0.00794149928255017,0.0180094577141006,0.0166567968113984
12,"Kansas",0.0063709807043999,0.042958711939871,0.0437515206669218,0.0064423603917998,39.048191,-95.677956,6654963351,0.433162860808326,0.00651508240230037,0.04457254650167,0.00658918338790038,0.045423430233474,0.00958686394569952,0.0532821834299781,0.00974476249970024,0.0545058003348294,0.0723170492640242,0.070602370742684,0.0689621415741835,0.00842523597169986,0.0103864297405298,0.00397577841040153,0.0118684988556996,0.00853871909819937,0.0105472242867108,0.0040183298763985,0.0120821579033006,0.00865482827919983,0.010712382467279,0.00406160110900089,0.0123025451085006,0.00877365282449993,0.0108820799507203,0.00410560912169977,0.0125299749548997,0.0119266779898002,0.00690487553382013,0.0154962878480998,0.0152662974932003,0.0193731529335999,0.00804047930406959,0.0184502663815991,0.0170209114256004,0.0189232085969007,0.00794149928255017,0.0180094577141006,0.0166567968113984,0.0184920331236,0.00784458165220059,0.0175870793197994,0.0163064810458007
13,"Kansas",0.0159421332228007,0.0723170492640242,0.042958711939871,0.0063709807043999,39.048191,-95.677956,5711912416,0.422994114066095,0.0064423603917998,0.0437515206669218,0.00651508240230037,0.04457254650167,0.00658918338790038,0.045423430233474,0.00958686394569952,0.0532821834299781,0.070602370742684,0.0689621415741835,0.0673915511083452,0.0193731529335999,0.00804047930406959,0.0184502663815991,0.0170209114256004,0.00842523597169986,0.0103864297405298,0.00397577841040153,0.0118684988556996,0.00853871909819937,0.0105472242867108,0.0040183298763985,0.0120821579033006,0.00865482827919983,0.010712382467279,0.00406160110900089,0.0123025451085006,0.00877365282449993,0.0108820799507203,0.00410560912169977,0.0125299749548997,0.0189232085969007,0.00794149928255017,0.0180094577141006,0.0166567968113984,0.0184920331236,0.00784458165220059,0.0175870793197994,0.0163064810458007,0.0180784854902996,0.00774966444680913,0.0171820150216,0.0159692032117995
14,"Kansas",0.0156193254260995,0.070602370742684,0.0723170492640242,0.0159421332228007,39.048191,-95.677956,6151958551,0.436190259515451,0.0063709807043999,0.042958711939871,0.0064423603917998,0.0437515206669218,0.00651508240230037,0.04457254650167,0.00658918338790038,0.045423430233474,0.0689621415741835,0.0673915511083452,0.0484763049485648,0.0189232085969007,0.00794149928255017,0.0180094577141006,0.0166567968113984,0.0193731529335999,0.00804047930406959,0.0184502663815991,0.0170209114256004,0.00842523597169986,0.0103864297405298,0.00397577841040153,0.0118684988556996,0.00853871909819937,0.0105472242867108,0.0040183298763985,0.0120821579033006,0.00865482827919983,0.010712382467279,0.00406160110900089,0.0123025451085006,0.0184920331236,0.00784458165220059,0.0175870793197994,0.0163064810458007,0.0180784854902996,0.00774966444680913,0.0171820150216,0.0159692032117995,0.00976097232659967,0.00743202981447055,0.0107807802435005,0.00879321692110047
15,"Kansas",0.0153080729945003,0.0689621415741835,0.070602370742684,0.0156193254260995,39.048191,-95.677956,6120014988,0.430641261733365,0.0159421332228007,0.0723170492640242,0.0063709807043999,0.042958711939871,0.0064423603917998,0.0437515206669218,0.00651508240230037,0.04457254650167,0.0673915511083452,0.0484763049485648,0.0475832880592365,0.0184920331236,0.00784458165220059,0.0175870793197994,0.0163064810458007,0.0189232085969007,0.00794149928255017,0.0180094577141006,0.0166567968113984,0.0193731529335999,0.00804047930406959,0.0184502663815991,0.0170209114256004,0.00842523597169986,0.0103864297405298,0.00397577841040153,0.0118684988556996,0.00853871909819937,0.0105472242867108,0.0040183298763985,0.0120821579033006,0.0180784854902996,0.00774966444680913,0.0171820150216,0.0159692032117995,0.00976097232659967,0.00743202981447055,0.0107807802435005,0.00879321692110047,0.00962806756520074,0.00734678463081906,0.0106087726640993,0.00867354087229977
